Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,This data was collected by keeping the laptop in the original position with no alteration and streaming a video on a cellphone near the laptop.
3,0.0784789,[543530 3C2B43],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = UXRD",
4,0.1072237,[543530 3C2B43],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = UXRD",
5,0.1083488,[2C6E85 F341CA],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
6,0.1783589,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
7,0.1826051,[2C6E85 F341CA],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
8,0.2070772,[2C6E85 F341CA],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
9,0.2770355,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
10,0.3793934,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
11,0.4159446,[404E36 6CABFE],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
12,0.4272407,[404E36 6CABFE],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
13,0.4359909,[404E36 6CABFE],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
14,0.4500300,[404E36 6CABFE],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
15,0.4818017,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
16,0.5841057,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
17,0.6891155,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
18,0.7890802,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
19,0.8479619,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
20,0.8528970,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa",
21,0.8540217,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
22,0.8936666,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
23,0.8942747,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
24,0.8953464,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa",
25,0.8964036,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
26,0.9201530,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
27,0.9261183,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa",
28,0.9269997,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
29,0.9947274,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
30,1.0099049,[2A7A68 A9D775],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
31,1.0627506,[2A7A68 A9D775],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
32,1.0960846,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
33,1.1244945,[2A7A68 A9D775],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
34,1.1271567,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
35,1.1339782,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa",
36,1.1348775,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
37,1.1810471,[2A7A68 A9D775],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
38,1.1986849,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
39,1.2406558,[2A7A68 A9D775],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 8",
40,1.2455875,[543530 3C2B43],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = UXRD",
41,1.3047574,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa",
42,1.3066545,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
43,1.3537239,[9C2A83 4E0DC6],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
44,1.4034721,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
45,1.5058073,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
46,1.6080689,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
47,1.7105838,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
48,1.8129874,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
49,1.9152546,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
50,1.9646838,[9801A7 951843],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 4",
51,2.0018004,[9801A7 951843],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 4",
52,2.0201968,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
53,2.0469526,[9801A7 951843],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
54,2.0851370,[9801A7 951843],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
55,2.1202727,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
56,2.1307250,[9801A7 951843],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 217 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
57,2.1679404,[9801A7 951843],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 217 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
58,2.2226627,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
59,2.2328934,[2A7A68 A9D775],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 217 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 4",
60,2.2358340,[9801A7 951843],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 217 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
61,2.2813305,[9801A7 951843],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 217 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
62,2.3191972,[9801A7 951843],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 217 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 8",
63,2.3249991,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
64,2.3487336,[2A7A68 A9D775],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 217 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
65,2.4274370,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
66,2.5297927,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
67,2.6322592,[24DEC6 11EF61],[*BROADCAST],217 (0xD9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 217 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
68,2.7347475,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
69,2.8370425,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
70,2.9394748,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
71,3.0417399,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
72,3.1442830,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
73,3.2466045,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
74,3.3489863,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
75,3.4514135,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
76,3.5537029,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
77,3.6583761,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
78,3.7269347,[EC0EC4 224C95],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa",
79,3.7571502,[EC0EC4 224C95],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa",
80,3.7585897,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
81,3.8608911,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
82,3.9632905,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
83,4.0657634,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
84,4.1233771,[EC0EC4 224C95],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa",
85,4.1471170,[EC0EC4 224C95],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa",
86,4.1683642,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
87,4.2625427,[26E21E D3334B],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 215 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
88,4.3730380,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
89,4.4736109,10.231.231.191,64.233.171.125,,TLS,TLS:TLS Rec Layer-1 SSL Application Data,"{TLS:8, SSLVersionSelector:7, TCP:2, IPv4:1}"
90,4.4754879,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
91,4.4892006,64.233.171.125,10.231.231.191,214 (0xD6),TCP,"TCP:[Segment Lost]Flags=...A...., SrcPort=5222, DstPort=2991, PayloadLen=0, Seq=1731802211, Ack=67433830, Win=246","{TCP:2, IPv4:1}"
92,4.5776777,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
93,4.6802451,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
94,4.7587633,[EC0EC4 224C95],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa",
95,4.7826714,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
96,4.7867713,[EC0EC4 224C95],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa",
97,4.8562981,[48E244 AA232D],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 214 dBm, Rate = Unknown, SSID = BroadCast SSID",
98,4.8850703,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
99,4.8860680,[48E244 AA232D],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 214 dBm, Rate = Unknown, SSID = BroadCast SSID",
100,4.9291153,[EC0EC4 224C95],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa",
101,4.9583160,[EC0EC4 224C95],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa",
102,4.9812516,[48E244 AA232D],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 214 dBm, Rate = Unknown, SSID = BroadCast SSID",
103,4.9874825,[24DEC6 11EF61],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 214 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
104,5.0108906,[48E244 AA232D],[*BROADCAST],214 (0xD6),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 214 dBm, Rate = Unknown, SSID = BroadCast SSID",
105,5.0896672,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
106,5.1630951,[EC0EC4 224C95],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa",
107,5.1687837,[48E244 AA232D],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID",
108,5.1923261,[EC0EC4 224C95],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa",
109,5.1984411,[48E244 AA232D],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID",
110,5.2938129,[48E244 AA232D],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID",
111,5.2946365,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
112,5.3235156,[48E244 AA232D],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID",
113,5.3490038,[8C8590 34FBAD],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
114,5.3595353,[8C8590 34FBAD],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
115,5.3835677,[8C8590 34FBAD],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
116,5.3987170,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
117,5.4994917,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
118,5.6016712,[24DEC6 11EF61],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 213 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
119,5.6936225,[4CBB58 8A3C8B],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID",
120,5.7235554,[4CBB58 8A3C8B],[*BROADCAST],213 (0xD5),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 213 dBm, Rate = Unknown, SSID = BroadCast SSID",
121,5.8066098,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
122,5.8246551,[4CBB58 8A3C8B],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 212 dBm, Rate = Unknown, SSID = BroadCast SSID",
123,5.8606948,[4CBB58 8A3C8B],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 212 dBm, Rate = Unknown, SSID = BroadCast SSID",
124,5.9090904,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
125,6.0113414,[24DEC6 11EF61],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 212 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
126,6.0238473,[4CBB58 8A3C8B],[*BROADCAST],212 (0xD4),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 212 dBm, Rate = Unknown, SSID = BroadCast SSID",
